user_id,movie title,rating
1006,Forrest Gump (1994),2
1006,"Game, The (1997)",2
1006,"Godfather, The (1972)",6
1006,Jurassic Park (1993),7
1006,Liar Liar (1997),7
1006,"Lion King, The (1994)",6
1006,Pulp Fiction (1994),9
1006,Reservoir Dogs (1992),3
1006,Return of the Jedi (1983),3
1006,"Rock, The (1996)",5
1006,Scream (1996),9
1006,Seven (Se7en) (1995),9
1006,"Silence of the Lambs, The (1991)",10
1006,Star Trek: First Contact (1996),2
1006,Star Trek: The Wrath of Khan (1982),4
1006,Star Wars (1977),6
1006,Terminator 2: Judgment Day (1991),2
1006,Titanic (1997),8
1006,Trainspotting (1996),2
1007,Aladdin (1992),2
1007,Braveheart (1995),8
1007,"Clockwork Orange, A (1971)",1
1007,Dances with Wolves (1990),10
1007,"English Patient, The (1996)",2
1007,Face/Off (1997),9
1007,Forrest Gump (1994),6
1007,"Game, The (1997)",5
1007,"Godfather, The (1972)",4
1007,Jurassic Park (1993),7
1007,Liar Liar (1997),3
1007,"Lion King, The (1994)",8
1007,Pulp Fiction (1994),7
1007,Reservoir Dogs (1992),3
1007,Return of the Jedi (1983),6
1007,"Rock, The (1996)",3
1007,Scream (1996),4
1007,Seven (Se7en) (1995),1
1007,"Silence of the Lambs, The (1991)",4
1007,Star Trek: First Contact (1996),7
1007,Star Trek: The Wrath of Khan (1982),8
1007,Star Wars (1977),1
1007,Terminator 2: Judgment Day (1991),6
1007,Titanic (1997),1
1007,Trainspotting (1996),4
1008,Aladdin (1992),1
1008,Braveheart (1995),10
1008,"Clockwork Orange, A (1971)",7
1008,Dances with Wolves (1990),6
1008,"English Patient, The (1996)",10
1008,Face/Off (1997),7
1008,Forrest Gump (1994),8
1008,"Game, The (1997)",2
1008,"Godfather, The (1972)",3
1008,Jurassic Park (1993),4
1008,Liar Liar (1997),7
1008,"Lion King, The (1994)",7
1008,Pulp Fiction (1994),1
1008,Reservoir Dogs (1992),6
1008,Return of the Jedi (1983),5
1008,"Rock, The (1996)",5
1008,Scream (1996),4
1008,Seven (Se7en) (1995),5
1008,"Silence of the Lambs, The (1991)",3
1008,Star Trek: First Contact (1996),1
1008,Star Trek: The Wrath of Khan (1982),4
1008,Star Wars (1977),6
1008,Terminator 2: Judgment Day (1991),6
1008,Titanic (1997),6
1008,Trainspotting (1996),1
1009,Aladdin (1992),4
1009,Braveheart (1995),7
1009,"Clockwork Orange, A (1971)",5
1009,Dances with Wolves (1990),7
1009,"English Patient, The (1996)",10
1009,Face/Off (1997),8
1009,Forrest Gump (1994),9
1009,"Game, The (1997)",9
1009,"Godfather, The (1972)",8
1009,Jurassic Park (1993),7
1009,Liar Liar (1997),3
1009,"Lion King, The (1994)",4
1009,Pulp Fiction (1994),1
1009,Reservoir Dogs (1992),1
1009,Return of the Jedi (1983),4
1009,"Rock, The (1996)",3
1009,Scream (1996),9
1009,Seven (Se7en) (1995),5
1009,"Silence of the Lambs, The (1991)",5
1009,Star Trek: First Contact (1996),7
1009,Star Trek: The Wrath of Khan (1982),6
1009,Star Wars (1977),8
1009,Terminator 2: Judgment Day (1991),4
1009,Titanic (1997),1
1009,Trainspotting (1996),2
